Designator,Mid X,Mid Y,Layer,Rotation
C1,44.3000,-52.2000,Bottom,90.0
C2,38.5000,-57.2000,Bottom,0.0
C3,42.5000,-63.0000,Bottom,270.0
C4,44.2000,-59.7000,Bottom,90.0
C5,44.0000,-55.6000,Bottom,90.0
C6,60.9000,-75.5000,Bottom,0.0
C7,47.0000,-43.2000,Bottom,90.0
C8,44.2000,-63.4000,Bottom,90.0
C9,44.3000,-48.6000,Bottom,90.0
C10,60.6000,-79.8000,Bottom,270.0
C11,44.9000,-70.3000,Bottom,90.0
C12,62.6000,-78.0000,Bottom,90.0
Q1,47.5000,-55.0000,Bottom,270.0
Q2,52.7500,-59.2000,Bottom,180.0
R1,45.3000,-43.5000,Bottom,270.0
R2,56.5000,-55.5000,Bottom,270.0
R3,38.5000,-59.0000,Bottom,0.0
R4,48.6000,-58.7000,Bottom,90.0
R5,52.4000,-61.7500,Bottom,0.0
R6,59.2000,-71.4000,Bottom,0.0
R7,52.2000,-70.4000,Bottom,180.0
R8,40.5000,-68.5000,Bottom,90.0
R9,48.6000,-69.3000,Bottom,0.0
R10,48.6000,-71.0500,Bottom,180.0
SW1,39.5000,-44.5000,Bottom,0.0
SW2,39.5000,-51.5000,Bottom,0.0
D1,37.6000,-73.5000,Top,90.0
D2,40.6000,-73.5000,Top,90.0
D3,40.5000,-68.5000,Top,90.0
J1,49.8470,-76.7030,Top,0.0
J2,60.3600,-64.7000,Top,90.0
U1,49.5300,-45.9000,Top,270.0
U2,41.5000,-62.9000,Top,0.0
U3,60.1000,-75.6000,Top,90.0
U4,50.0000,-64.5000,Top,0.0
